"id","fine","dLoop"
"4495","Offshore.North","Hap.11"
"4496","Offshore.North","Hap.11"
"4498","Offshore.North","Hap.12"
"5814","Offshore.North","Hap.21"
"5815","Offshore.North","Hap.06"
"5816","Offshore.North","Hap.13"
"5817","Offshore.North","Hap.13"
"5818","Offshore.North","Hap.07"
"6151","Offshore.North","Hap.04"
"6153","Offshore.North","Hap.04"
"6290","Offshore.North","Hap.22"
"18650","Offshore.South","Hap.06"
"18651","Offshore.South","Hap.14"
"18652","Offshore.South","Hap.23"
"18653","Offshore.South","Hap.24"
"18654","Offshore.South","Hap.10"
"18655","Offshore.South","Hap.15"
"23792","Offshore.South","Hap.25"
"23793","Offshore.South","Hap.04"
"23794","Offshore.South","Hap.26"
"23801","Offshore.South","Hap.04"
"23945","Coastal","Hap.05"
"25182","Offshore.South","Hap.16"
"25184","Offshore.South","Hap.27"
"25185","Offshore.South","Hap.17"
"25186","Offshore.South","Hap.10"
"25469","Offshore.North","Hap.15"
"25470","Offshore.North","Hap.18"
"25471","Offshore.North","Hap.04"
"25503","Coastal","Hap.02"
"25509","Coastal","Hap.02"
"26304","Offshore.North","Hap.28"
"26305","Offshore.North","Hap.19"
"26310","Offshore.North","Hap.04"
"26316","Offshore.North","Hap.29"
"26317","Offshore.North","Hap.07"
"26318","Offshore.North","Hap.12"
"26320","Offshore.North","Hap.07"
"31888","Offshore.South","Hap.30"
"40915","Coastal","Hap.03"
"40916","Coastal","Hap.03"
"41538","Coastal","Hap.03"
"41539","Coastal","Hap.01"
"41540","Coastal","Hap.03"
"41578","Coastal","Hap.01"
"41579","Coastal","Hap.03"
"41757","Offshore.South","Hap.17"
"41758","Offshore.South","Hap.08"
"41759","Offshore.South","Hap.04"
"41819","Coastal","Hap.02"
"41820","Coastal","Hap.02"
"41821","Coastal","Hap.01"
"41822","Coastal","Hap.02"
"42192","Coastal","Hap.01"
"42193","Coastal","Hap.02"
"44718","Coastal","Hap.01"
"44719","Coastal","Hap.02"
"44720","Coastal","Hap.03"
"44721","Coastal","Hap.01"
"45229","Coastal","Hap.02"
"45230","Coastal","Hap.02"
"45231","Coastal","Hap.01"
"45232","Coastal","Hap.01"
"45233","Coastal","Hap.05"
"45234","Coastal","Hap.09"
"45236","Coastal","Hap.01"
"45237","Coastal","Hap.09"
"49095","Coastal","Hap.05"
"50742","Offshore.North","Hap.07"
"50743","Offshore.North","Hap.08"
"50744","Offshore.North","Hap.04"
"50745","Offshore.North","Hap.01"
"50746","Offshore.North","Hap.06"
"51382","Offshore.North","Hap.08"
"51383","Offshore.North","Hap.31"
"51384","Offshore.North","Hap.06"
"51981","Coastal","Hap.01"
"51982","Coastal","Hap.01"
"74959","Offshore.North","Hap.20"
"74960","Offshore.North","Hap.16"
"74961","Offshore.North","Hap.10"
"74962","Offshore.North","Hap.32"
"74963","Offshore.North","Hap.18"
"74964","Offshore.North","Hap.19"
"74965","Offshore.North","Hap.20"
"74966","Offshore.North","Hap.14"
"78033","Coastal","Hap.05"
"78034","Coastal","Hap.01"
"78035","Coastal","Hap.01"
"78036","Coastal","Hap.09"
"78037","Coastal","Hap.03"
"78038","Coastal","Hap.03"
"78039","Coastal","Hap.03"
"78040","Coastal","Hap.03"
"78041","Coastal","Hap.01"
"78042","Coastal","Hap.03"
"78043","Coastal","Hap.05"
"78044","Coastal","Hap.02"
"78045","Coastal","Hap.02"
"78046","Coastal","Hap.01"
"78047","Coastal","Hap.09"
"78048","Coastal","Hap.02"
"78049","Coastal","Hap.01"
"78050","Coastal","Hap.01"
"78051","Coastal","Hap.01"
"78052","Coastal","Hap.03"
"78053","Coastal","Hap.01"
"78054","Coastal","Hap.02"
"78055","Coastal","Hap.01"
"78056","Coastal","Hap.02"
"78057","Coastal","Hap.01"
"78058","Coastal","Hap.01"
"78059","Coastal","Hap.03"
"78060","Coastal","Hap.01"
"78061","Coastal","Hap.01"
"78062","Coastal","Hap.05"
"78063","Coastal","Hap.01"
"78064","Coastal","Hap.02"
"78065","Coastal","Hap.03"
"78066","Coastal","Hap.01"
"78067","Coastal","Hap.03"
"78068","Coastal","Hap.02"
"78069","Coastal","Hap.03"
"78530","Offshore.North","Hap.08"
"78531","Offshore.North","Hap.33"
"78532","Offshore.North","Hap.04"
